address,current_name,glabel,name_layer,aliases,insns,src_location,origin,tier,evidence,action,proposed_name,queued
0x80016E60,cpu_exec_match_round_stage_select,func_80016E60,named_syms.txt/symbol_addrs.txt alias only,cpu_exec_match_round_stage_select_80016E60,211,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=medium method=APPLIED-DIFFERENTLY; sole_caller_path=cpu_set_move_command_and_dir_for_no_action_2_helper_80016E60,KEEP,,yes
0x800171AC,rng_SetSeed,func_800171AC,src/*.c definition + named_syms alias,rng_SetSeed_800171AC,3,src/ings.c:572,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:572,KEEP,,
0x800171B8,rng_Next,func_800171B8,src/*.c definition + named_syms alias,rng_Next_800171B8,18,src/code6cac_b.c:2395,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; mentioned in docs/naming/MISNOMERS.md — review; body at src/code6cac_b.c:2395,KEEP,,
0x80017200,cpu_set_move_command_and_dir_for_no_action_2,cpu_set_move_command_and_dir_for_no_action_2,glabel,,189,src/ings.c:582,kengo-derived,SUSPECT,"DECISIVE RENAME: this is the sole jal target of _start (asm/funcs/_start.s:42, jal 0x80017200) — a crt0's final call is main(). kengo_matches.csv gives kengo_name=gnd_land_hit_char_tsuba affinity-unique combined_score=0.00 (no basis). Current name is unrelated to both. | tools/rename_funcs.py RENAMES map, KENGO band — 'Kengo size-match batch (38 renames, 2026-03-30)'; disambiguated variant of Kengo name 'cpu_set_move_command_and_dir_for_no_action' (same semantic claim re-used at a second address — the #1 false-positive shape per docs/naming/README.md); kengo_matches.csv: kengo_name=gnd_land_hit_char_tsuba confidence=affinity-unique insn_diff=-14 combined_score=0.00; body at src/ings.c:582",RENAME,main,yes
0x800174F4,gnd_disp_loop_ctrl,gnd_disp_loop_ctrl,glabel,,136,src/code6cac.c:83,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'MED â€” 5-19 insn diff, unique affinity match @ HIGH â€” â‰¤5 insn diff, unique affinity match @ Kengo near-miss batch ('; kengo_matches.csv: kengo_name=gnd_disp_loop_ctrl confidence=name-unique insn_diff=4 combined_score=0.00; body at src/code6cac.c:83",RESET,,yes
0x80017714,obj_ClearAll,func_80017714,src/*.c definition + named_syms alias,obj_ClearAll_80017714,9,src/config.c:15,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/config.c:15,KEEP,,
0x80017738,obj_CalcOffset,func_80017738,src/*.c definition + named_syms alias,obj_CalcOffset_80017738,4,src/ings.c:773,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:773,KEEP,,
0x80017748,math_Distance3D,func_80017748,src/*.c definition + named_syms alias,math_Distance3D_80017748,32,src/ings.c:779,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:779,KEEP,,
0x800177C8,math_Distance3D_16,func_800177C8,src/*.c definition + named_syms alias,math_Distance3D_16_800177C8,32,src/ings.c:789,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:789,KEEP,,
0x80017848,graph_add_edge,func_80017848,named_syms.txt/symbol_addrs.txt alias only,graph_add_edge_80017848,127,,naming-analyzer(residual_named),INFERRED,"docs/naming/residual_named.csv: confidence=medium method=manual_re; graph edge insertion: nodes at $s2[0xC] stride64 (flag 0x18, adj-counts 0x1C/0x20, adj-lists 0x24/0x2C), edges at $s2[0x10] stride16; rejects self-loop+dupes, weights edge by math_Distance3D, stores {dist,packed from|to,3*dist,attr}, appends adj refs to both n",KEEP,,yes
0x80017A44,efc_helper,func_80017A44,named_syms.txt/symbol_addrs.txt alias only,efc_helper_80017A44,208,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,yes
0x80017D84,efc_rob_ougi_control,func_80017D84,named_syms.txt/symbol_addrs.txt alias only,efc_rob_ougi_control,66,,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'Item 7: Kengo cross-reference renames (67 functions)'; kengo_matches.csv: kengo_name=? confidence=? insn_diff=? combined_score=0",RESET,,yes
0x80017E8C,obj_Clear,func_80017E8C,src/*.c definition + named_syms alias,obj_Clear_80017E8C,10,src/config.c:17,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/config.c:17,KEEP,,
0x80017EB4,obj_UpdatePosition,func_80017EB4,src/*.c definition + named_syms alias,obj_UpdatePosition_80017EB4,16,src/ings.c:926,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:926,KEEP,,
0x80017EF4,obj_AddValue,func_80017EF4,src/*.c definition + named_syms alias,obj_AddValue_80017EF4,13,src/ings.c:932,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:932,KEEP,,
0x80017F28,scratchpad_Save,func_80017F28,src/*.c definition + named_syms alias,scratchpad_Save_80017F28,13,src/ings.c:936,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:936,KEEP,,
0x80017F5C,scratchpad_Restore,func_80017F5C,src/*.c definition + named_syms alias,scratchpad_Restore_80017F5C,13,src/ings.c:944,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:944,KEEP,,
0x80017F90,sys_StubEmpty2,func_80017F90,src/*.c definition + named_syms alias,sys_StubEmpty2_80017F90,2,src/config.c:16,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/config.c:16",KEEP,,
0x80017F98,sys_StubEmpty3,func_80017F98,src/*.c definition + named_syms alias,sys_StubEmpty3_80017F98,2,src/config.c:13,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/config.c:13",KEEP,,
0x80017FA0,getScreenPosition,func_80017FA0,src/*.c definition + named_syms alias,getScreenPosition,61,src/code6cac.c:166,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'Item 7: Kengo cross-reference renames (67 functions)'; kengo_matches.csv: kengo_name=? confidence=? insn_diff=? combined_score=0; body at src/code6cac.c:166",RESET,,yes
0x80018094,marionation_camera_Exec,marionation_camera_Exec,glabel,,155,src/code6cac.c:228,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'Kengo size-match batch (38 renames, 2026-03-30)'; kengo_matches.csv: kengo_name=marionation_camera_Exec confidence=name-unique insn_diff=0 combined_score=0.00; body at src/code6cac.c:228",RESET,,yes
0x80018300,cpu_check_run_attack,cpu_check_run_attack,glabel,,317,src/code6cac.c:167,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'HIGH â€” â‰¤5 insn diff, unique affinity match @ Kengo near-miss batch (13 renames, Â±5%, 2026-03-30)'; kengo_matches.csv: kengo_name=cpu_check_run_attack confidence=name-unique insn_diff=5 combined_score=0.00; body at src/code6cac.c:167",RESET,,yes
0x800187F4,single_game_setModeRequest,single_game_setModeRequest,glabel,single_game_setModeRequest,662,src/code6cac.c:343,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'HIGH â€” â‰¤5 insn diff, unique affinity match @ Kengo near-miss batch (13 renames, Â±5%, 2026-03-30)'; kengo_matches.csv: kengo_name=single_game_setModeRequest confidence=name-unique insn_diff=1 combined_score=0.00; body at src/code6cac.c:343",RESET,,yes
0x8001924C,ang_helper,func_8001924C,named_syms.txt/symbol_addrs.txt alias only,ang_helper_8001924C,49,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x80019310,gte_mvmva,func_80019310,named_syms.txt/symbol_addrs.txt alias only,gte_mvmva_80019310,83,,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=low method=APPLIED-DIFFERENTLY; gte_op=gte_mvmva_wrapper_80019310; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence",KEEP,,yes
0x8001945C,kgm_clamp_patch_init_helper,func_8001945C,named_syms.txt/symbol_addrs.txt alias only,kgm_clamp_patch_init_helper_8001945C,11,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=medium method=APPLIED-AS-PROPOSED; sole_caller_path=kgm_clamp_patch_init_helper_8001945C,KEEP,,
0x80019488,pack_status_nibble_triplet,func_80019488,named_syms.txt/symbol_addrs.txt alias only,pack_status_nibble_triplet_80019488,14,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x800194C0,replay_camera_helper,func_800194C0,named_syms.txt/symbol_addrs.txt alias only,replay_camera_helper_800194C0,13,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x800194F4,replay_camera_helper,func_800194F4,named_syms.txt/symbol_addrs.txt alias only,replay_camera_helper_800194F4,16,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x80019534,sys_helper,func_80019534,named_syms.txt/symbol_addrs.txt alias only,sys_helper_80019534,13,,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence",KEEP,,
0x80019568,single_game_VoiceContorol,single_game_VoiceContorol,glabel,func_80019568,141,src/code6cac.c:464,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'Item 7: Kengo cross-reference renames (67 functions)'; kengo_matches.csv: kengo_name=single_game_VoiceContorol confidence=name-unique insn_diff=0 combined_score=0.00; body at src/code6cac.c:464",RESET,,yes
0x8001979C,mode_helper,func_8001979C,named_syms.txt/symbol_addrs.txt alias only,mode_helper_8001979C,77,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,yes
0x800198D0,mode_helper,func_800198D0,named_syms.txt/symbol_addrs.txt alias only,mode_helper_800198D0,749,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,yes
0x8001A484,DispSleepMenuTexAll,func_8001A484,named_syms.txt/symbol_addrs.txt alias only,DispSleepMenuTexAll_8001A484,27,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; string_adjacent_info=?,KEEP,,
0x8001A4F0,disppracticemenutex_DivideAngle,func_8001A4F0,named_syms.txt/symbol_addrs.txt alias only,disppracticemenutex_DivideAngle_8001A4F0,18,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001A538,md_game_helper,func_8001A538,named_syms.txt/symbol_addrs.txt alias only,md_game_helper_8001A538,61,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001A62C,func_8001A62C,func_8001A62C,glabel,,20,src/code6cac.c:705,splat-auto,AUTO,splat-generated placeholder; makes no semantic claim,KEEP,,
0x8001A67C,calc_dir_from_points,func_8001A67C,named_syms.txt/symbol_addrs.txt alias only,calc_dir_from_points_8001A67C,105,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001A820,mode_helper,func_8001A820,named_syms.txt/symbol_addrs.txt alias only,mode_helper_8001A820,582,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,yes
0x8001B138,single_game_UpdateVoiceMask,func_8001B138,named_syms.txt/symbol_addrs.txt alias only,single_game_UpdateVoiceMask_8001B138,87,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=medium method=APPLIED-DIFFERENTLY; sole_caller_path=single_game_VoiceContorol_helper_8001B138,KEEP,,
0x8001B294,gnd_init_8001B294,gnd_init_8001B294,glabel,,75,src/code6cac.c:795,kengo-derived,SUSPECT,kengo_matches.csv: kengo_name=gnd_init confidence=name-unique insn_diff=2 combined_score=0.04; body at src/code6cac.c:795,RESET,,
0x8001B3C0,mario_getMarioVoiceData_8001B3C0,mario_getMarioVoiceData_8001B3C0,glabel,mario_getMarioVoiceData_8001B3C0;view_pos_init_from_obj_8001B3C0,46,src/code6cac.c:796,misname-flag,SUSPECT,RECORDED CONTRADICTION: named_syms.txt:2506 /* MISNAMED: not voice data; reads obj pos fields 0x180/184/188 into D_800F5328/532C/5330 */; body at src/code6cac.c:796,RESET,,
0x8001B478,myRobGeneiMove,myRobGeneiMove,glabel,,134,src/code6cac.c:797,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'Kengo size-match batch (38 renames, 2026-03-30)'; kengo_matches.csv: kengo_name=myRobGeneiMove confidence=name-unique insn_diff=0 combined_score=0.00; body at src/code6cac.c:797",RESET,,
0x8001B690,cpu_helper,func_8001B690,named_syms.txt/symbol_addrs.txt alias only,cpu_helper_8001B690,25,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001B6F4,mode_helper,func_8001B6F4,named_syms.txt/symbol_addrs.txt alias only,mode_helper_8001B6F4,21,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001B748,DispPracticeMenuTex_A,DispPracticeMenuTex_A,glabel,,231,src/code6cac.c:920,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'Kengo size-match batch (38 renames, 2026-03-30)'; kengo_matches.csv: kengo_name=cpu_check_ougi_attack confidence=size-only-ambiguous insn_diff=-2 combined_score=0.00; body at src/code6cac.c:920",RESET,,yes
0x8001BAE4,mode_helper,func_8001BAE4,named_syms.txt/symbol_addrs.txt alias only,mode_helper_8001BAE4,61,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001BBD8,mode_helper,func_8001BBD8,named_syms.txt/symbol_addrs.txt alias only,mode_helper_8001BBD8,38,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001BC70,cpu_check_move_dir_pattern_enemy_attack,cpu_check_move_dir_pattern_enemy_attack,glabel,,32,src/code6cac.c:1030,kengo-derived,SUSPECT,kengo_matches.csv: kengo_name=cpu_check_move_dir_pattern_enemy_attack confidence=name-unique insn_diff=3 combined_score=0.20; body at src/code6cac.c:1030,RESET,,
0x8001BCF0,suLeagueSystemInit,func_8001BCF0,named_syms.txt/symbol_addrs.txt alias only,suLeagueSystemInit;suLeagueSystemInit_8001BCF0,70,,kengo-derived,SUSPECT,"tools/rename_funcs.py RENAMES map, KENGO band — 'Item 7: Kengo cross-reference renames (67 functions)'; kengo_matches.csv: kengo_name=? confidence=? insn_diff=? combined_score=0",RESET,,
0x8001BE08,LWCard_SetAccessData,LWCard_SetAccessData,glabel,,6,src/code6cac.c:1066,kengo-derived,SUSPECT,kengo_matches.csv: kengo_name=LWCard_SetAccessData confidence=name-unique insn_diff=0 combined_score=0.00; body at src/code6cac.c:1066,RESET,,
0x8001BE20,mode_helper,func_8001BE20,named_syms.txt/symbol_addrs.txt alias only,mode_helper_8001BE20,393,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,yes
0x8001C444,sys_helper,func_8001C444,named_syms.txt/symbol_addrs.txt alias only,sys_helper_8001C444,31,,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence",KEEP,,
0x8001C4C0,mario_helper,func_8001C4C0,named_syms.txt/symbol_addrs.txt alias only,mario_helper_8001C4C0,23,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; string_adjacent_info=?,KEEP,,
0x8001C51C,mario_helper,func_8001C51C,named_syms.txt/symbol_addrs.txt alias only,mario_helper_8001C51C,66,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ,KEEP,,
0x8001C820,mario_getMarioVoiceData_8001C820,mario_getMarioVoiceData_8001C820,glabel,mario_getMarioVoiceData_8001C820;sound_dispatch_56_to_58_8001C820,47,src/code6cac.c:1175,misname-flag,SUSPECT,RECORDED CONTRADICTION: named_syms.txt:2507 /* MISNAMED: not voice data; conditional func_800325E0 with sound IDs 0x56..0x58 */; body at src/code6cac.c:1175,RESET,,
