addr,current_name,aliases,proposed_name,all_sony_names,module,lib,mod_start,evidence,classification,in_main_block,queued,census_action,census_tier,census_name,name_source,note
0x800789F8,bios_FileRead_B,,read,read,A52,LIBAPI,0x800789F8,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_FileRead_B,asm/funcs glabel,
0x80078A08,bios_FileWrite_B,,write,write,A53,LIBAPI,0x80078A08,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_FileWrite_B,asm/funcs glabel,
0x80078A18,bios_FileClose_B,,close,close,A54,LIBAPI,0x80078A18,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_FileClose_B,asm/funcs glabel,
0x80078A28,bios_FormatDevice_B,,format,format,A65,LIBAPI,0x80078A28,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_FormatDevice_B,asm/funcs glabel,
0x80078A38,bios_firstfile_B,,firstfile,firstfile,A66,LIBAPI,0x80078A38,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_firstfile_B,asm/funcs glabel,
0x80078A48,bios_nextfile_B,,nextfile,nextfile,A67,LIBAPI,0x80078A48,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_nextfile_B,asm/funcs glabel,
0x80078A58,bios_ChangeClearPad,,ChangeClearPAD,ChangeClearPAD,A91,LIBAPI,0x80078A58,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_ChangeClearPad,asm/funcs glabel,
0x80078A68,func_80078A68,irq_event_slot_configure,SetRCnt,SetRCnt,COUNTER,LIBAPI,0x80078A68,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,irq_event_slot_configure,asm/funcs glabel,contradicting live alias(es): irq_event_slot_configure
0x80078B04,func_80078B04,irq_event_slot_read,GetRCnt,GetRCnt,COUNTER,LIBAPI,0x80078A68,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,irq_event_slot_read,asm/funcs glabel,contradicting live alias(es): irq_event_slot_read
0x80078B3C,func_80078B3C,irq_event_slot_enable,StartRCnt,StartRCnt,COUNTER,LIBAPI,0x80078A68,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,irq_event_slot_enable,asm/funcs glabel,contradicting live alias(es): irq_event_slot_enable
0x80078B70,func_80078B70,irq_event_slot_disable,StopRCnt,StopRCnt,COUNTER,LIBAPI,0x80078A68,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,irq_event_slot_disable,asm/funcs glabel,contradicting live alias(es): irq_event_slot_disable
0x80078BA8,func_80078BA8,irq_event_slot_clear,ResetRCnt,ResetRCnt,COUNTER,LIBAPI,0x80078A68,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,irq_event_slot_clear,asm/funcs glabel,contradicting live alias(es): irq_event_slot_clear
0x80078BE0,func_80078BE0,set_global_80078BE0,SetInitPadFlag,SetInitPadFlag,PAD,LIBAPI,0x80078BE0,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,set_global,asm/funcs glabel,contradicting live alias(es): set_global_80078BE0
0x80078BF0,func_80078BF0,get_global_80078BF0,ReadInitPadFlag,ReadInitPadFlag,PAD,LIBAPI,0x80078BE0,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,get_global,asm/funcs glabel,contradicting live alias(es): get_global_80078BF0
0x80078C00,func_80078C00,bios_helper_80078C00,PAD_init,PAD_init,PAD,LIBAPI,0x80078BE0,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_helper,asm/funcs glabel,contradicting live alias(es): bios_helper_80078C00
0x80078C9C,func_80078C9C,bios_helper_80078C9C,InitPAD,InitPAD,PAD,LIBAPI,0x80078BE0,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_helper,asm/funcs glabel,contradicting live alias(es): bios_helper_80078C9C
0x80078D38,func_80078D38,bios_helper_80078D38,StartPAD,StartPAD,PAD,LIBAPI,0x80078BE0,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_helper,asm/funcs glabel,contradicting live alias(es): bios_helper_80078D38
0x80078D68,func_80078D68,,StopPAD,StopPAD,PAD,LIBAPI,0x80078BE0,libscan-verbatim,FILL,True,,RESET,SUSPECT,pad_Init,asm/funcs glabel,
0x80078DA0,func_80078DA0,bios_helper_80078DA0,,SetPatchPad,PAD,LIBAPI,0x80078BE0,libscan-verbatim,MODULE_LOCAL_STATIC,True,,KEEP,INFERRED,bios_helper,asm/funcs glabel,"OBJ local symbol SetPatchPad (module-local static, NOT an exported name); propose nothing"
0x80078E20,func_80078E20,pad_interrupt_dequeue_80078E20,,RemovePatchPad,PAD,LIBAPI,0x80078BE0,libscan-verbatim,MODULE_LOCAL_STATIC,True,,KEEP,INFERRED,pad_interrupt_dequeue,asm/funcs glabel,"OBJ local symbol RemovePatchPad (module-local static, NOT an exported name); propose nothing"
0x80078E58,func_80078E58,,,_Pad1,PAD,LIBAPI,0x80078BE0,libscan-verbatim,MODULE_LOCAL_STATIC,True,,KEEP,AUTO,func_80078E58,asm/funcs glabel,"OBJ local symbol _Pad1 (module-local static, NOT an exported name); propose nothing"
0x80078EC0,func_80078EC0,get_field0x4_80078EC0,,_IsVSync,PAD,LIBAPI,0x80078BE0,libscan-verbatim,MODULE_LOCAL_STATIC,True,,KEEP,INFERRED,get_field0x4,asm/funcs glabel,"OBJ local symbol _IsVSync (module-local static, NOT an exported name); propose nothing"
0x80078F00,bios_InitPad,,InitPAD2,InitPAD2,A18,LIBAPI,0x80078F00,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_InitPad,asm/funcs glabel,
0x80078F10,bios_StartPad,,StartPAD2,StartPAD2,A19,LIBAPI,0x80078F10,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_StartPad,asm/funcs glabel,
0x80078F20,bios_StopPad,,StopPAD2,StopPAD2,A20,LIBAPI,0x80078F20,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_StopPad,asm/funcs glabel,
0x80078F30,bios_OutdatedPadInitAndStart,,PAD_init2,PAD_init2,A21,LIBAPI,0x80078F30,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_OutdatedPadInitAndStart,asm/funcs glabel,
0x80078F40,bios_SysEnqIntRP,,SysEnqIntRP,SysEnqIntRP,L02,LIBAPI,0x80078F40,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_SysEnqIntRP,asm/funcs glabel,
0x80078F50,bios_SysDeqIntRP,,SysDeqIntRP,SysDeqIntRP,L03,LIBAPI,0x80078F50,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_SysDeqIntRP,asm/funcs glabel,
0x80078F60,func_80078F60,get_global_80078F60,EnablePAD,EnablePAD,PATCH,LIBAPI,0x80078F60,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,get_global,asm/funcs glabel,contradicting live alias(es): get_global_80078F60
0x80078F74,func_80078F74,pad_state_dispatch_wrapper_80078F74,DisablePAD,DisablePAD,PATCH,LIBAPI,0x80078F60,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,pad_state_dispatch_wrapper,asm/funcs glabel,contradicting live alias(es): pad_state_dispatch_wrapper_80078F74
0x80078F88,func_80078F88,bios_SetupJumpTbl_80078F88,_patch_pad,_patch_pad,PATCH,LIBAPI,0x80078F60,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_SetupJumpTbl,asm/funcs glabel,contradicting live alias(es): bios_SetupJumpTbl_80078F88
0x80078FF0,func_80078FF0,copy_80078FF0,FlushCache,FlushCache,C68,LIBAPI,0x80078FF0,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,copy,asm/funcs glabel,contradicting live alias(es): copy_80078FF0
0x80079028,func_80079028,bios_PatchTable_80079028,_send_pad,_send_pad,SENDPAD,LIBAPI,0x80079000,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_PatchTable,asm/funcs glabel,contradicting live alias(es): bios_PatchTable_80079028
0x800790A4,func_800790A4,stub_800790A4,,,SENDPAD,LIBAPI,0x80079000,libscan-verbatim,IN_SPAN_NO_SYMBOL,True,,KEEP,INFERRED,stub,asm/funcs glabel,inside LIBAPI/SENDPAD but carries no OBJ symbol at its entry
0x800790C0,func_800790C0,bios_ClearTable_800790C0,_remove_ChgclrPAD,_remove_ChgclrPAD,CHCLRPAD,LIBAPI,0x800790C0,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_ClearTable,asm/funcs glabel,contradicting live alias(es): bios_ClearTable_800790C0
0x80079120,bb2_memcpy,,memcpy,memcpy,MEMCPY,LIBC2,0x80079120,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bb2_memcpy,asm/funcs glabel,
0x80079154,func_80079154,bb2_rand,rand,rand,RAND,LIBC2,0x80079154,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bb2_rand,asm/funcs glabel,contradicting live alias(es): bb2_rand
0x80079184,func_80079184,bb2_srand_80079184,srand,srand,RAND,LIBC2,0x80079154,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bb2_srand,asm/funcs glabel,contradicting live alias(es): bb2_srand_80079184
0x80079194,func_80079194,,strcpy,strcpy,STRCPY,LIBC2,0x80079194,libscan-verbatim,FILL,True,,KEEP,AUTO,func_80079194,asm/funcs glabel,
0x800791D8,func_800791D8,dispsleepmenutex_helper_800791D8,strlen,strlen,STRLEN,LIBC2,0x800791D8,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,dispsleepmenutex_helper,asm/funcs glabel,contradicting live alias(es): dispsleepmenutex_helper_800791D8
0x80079208,debug_printf,,printf,printf,PRINTF,LIBC2,0x80079208,libscan-verbatim,CONTRADICTED,True,,KEEP,INFERRED,debug_printf,asm/funcs glabel,
0x80079244,func_80079244,debug_printf_helper_80079244,prnt,prnt,PRNT,LIBC2,0x80079244,libscan-verbatim,CONTRADICTED_ALIAS,True,yes:active,KEEP,INFERRED,debug_printf_helper,asm/funcs glabel,contradicting live alias(es): debug_printf_helper_80079244
0x800798CC,func_800798CC,bb2_toupper,toupper,toupper,CTYPE,LIBC2,0x800798CC,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bb2_toupper,asm/funcs glabel,contradicting live alias(es): bb2_toupper
0x800798FC,func_800798FC,bb2_tolower,tolower,tolower,CTYPE,LIBC2,0x800798CC,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bb2_tolower,asm/funcs glabel,contradicting live alias(es): bb2_tolower
0x8007992C,func_8007992C,bb2_memchr,memchr,memchr,MEMCHR,LIBC2,0x8007992C,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bb2_memchr,asm/funcs glabel,contradicting live alias(es): bb2_memchr
0x8007997C,func_8007997C,bb2_putchar_stdout,putchar,putchar,PUTCHAR,LIBC2,0x8007997C,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bb2_putchar_stdout,asm/funcs glabel,contradicting live alias(es): bb2_putchar_stdout
0x80079A30,func_80079A30,dispsleepmenutex_helper_80079A30,sprintf,sprintf,SPRINTF,LIBC,0x80079A30,libscan-verbatim,CONTRADICTED_ALIAS,True,yes:active,KEEP,INFERRED,dispsleepmenutex_helper,asm/funcs glabel,contradicting live alias(es): dispsleepmenutex_helper_80079A30
0x8007A28C,func_8007A28C,,memmove,memmove,MEMMOVE,LIBC,0x8007A28C,libscan-verbatim,FILL,True,,KEEP,AUTO,func_8007A28C,asm/funcs glabel,
0x8007A2F8,bios_A0_0xAB_wrapper,,_card_info,_card_info,C171,LIBCARD,0x8007A2F8,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_A0_0xAB_wrapper,asm/funcs glabel,
0x8007A308,bios_A0_0xAC_wrapper,,_card_load,_card_load,C172,LIBCARD,0x8007A308,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_A0_0xAC_wrapper,asm/funcs glabel,
0x8007A318,func_8007A318,bios_helper_8007A318,_card_clear,_card_clear,CARD,LIBCARD,0x8007A318,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_helper,asm/funcs glabel,contradicting live alias(es): bios_helper_8007A318
0x8007A350,bios__card_write,,_card_write,_card_write,A78,LIBCARD,0x8007A350,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios__card_write,asm/funcs glabel,
0x8007A360,bios__new_card,,_new_card,_new_card,A80,LIBCARD,0x8007A360,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios__new_card,asm/funcs glabel,
0x8007A370,func_8007A370,pad_press_control_init_8007A370,InitCARD,InitCARD,INIT,LIBCARD,0x8007A370,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,pad_press_control_init,asm/funcs glabel,contradicting live alias(es): pad_press_control_init_8007A370
0x8007A3C8,func_8007A3C8,pad_press_control_start_8007A3C8,StartCARD,StartCARD,INIT,LIBCARD,0x8007A370,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,pad_press_control_start,asm/funcs glabel,contradicting live alias(es): pad_press_control_start_8007A3C8
0x8007A400,func_8007A400,,StopCARD,StopCARD,INIT,LIBCARD,0x8007A370,libscan-verbatim,FILL,True,,KEEP,AUTO,func_8007A400,asm/funcs glabel,
0x8007A428,bios_InitCard,,InitCARD2,InitCARD2,A74,LIBCARD,0x8007A428,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_InitCard,asm/funcs glabel,
0x8007A438,bios_StartCard,,StartCARD2,StartCARD2,A75,LIBCARD,0x8007A438,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_StartCard,asm/funcs glabel,
0x8007A448,bios_StopCard,,StopCARD2,StopCARD2,A76,LIBCARD,0x8007A448,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_StopCard,asm/funcs glabel,
0x8007A458,func_8007A458,bios_PatchTable_8007A458,_ExitCard,_ExitCard,END,LIBCARD,0x8007A458,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,bios_PatchTable,asm/funcs glabel,contradicting live alias(es): bios_PatchTable_8007A458
0x8007A4D8,func_8007A4D8,gpu_LoadTexture_8007A4D8,LoadTPage,LoadTPage,EXT,LIBGPU,0x8007A4D8,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_LoadTexture,asm/funcs glabel,contradicting live alias(es): gpu_LoadTexture_8007A4D8
0x8007A5C4,func_8007A5C4,,LoadClut,LoadClut,EXT,LIBGPU,0x8007A4D8,libscan-verbatim,FILL,True,,RESET,SUSPECT,suDraw2DLib_8007A5C4,asm/funcs glabel,
0x8007A62C,func_8007A62C,,LoadClut2,LoadClut2,EXT,LIBGPU,0x8007A4D8,libscan-verbatim,FILL,True,,RESET,SUSPECT,suDraw2DLib_8007A62C,asm/funcs glabel,
0x8007A694,func_8007A694,gpu_InitDrawEnv_8007A694;gpu_InitDrawEnv,SetDefDrawEnv,SetDefDrawEnv,EXT,LIBGPU,0x8007A4D8,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_InitDrawEnv,asm/funcs glabel,contradicting live alias(es): gpu_InitDrawEnv_8007A694;gpu_InitDrawEnv
0x8007A74C,func_8007A74C,gpu_InitDispEnv_8007A74C;gpu_InitDispEnv,SetDefDispEnv,SetDefDispEnv,EXT,LIBGPU,0x8007A4D8,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_InitDispEnv,asm/funcs glabel,contradicting live alias(es): gpu_InitDispEnv_8007A74C;gpu_InitDispEnv
0x8007A788,func_8007A788,gpu_CalcTPage_8007A788;gpu_CalcTPage,GetTPage,GetTPage,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_CalcTPage,asm/funcs glabel,contradicting live alias(es): gpu_CalcTPage_8007A788;gpu_CalcTPage
0x8007A7C4,func_8007A7C4,gpu_CalcClut_8007A7C4;gpu_CalcClut,GetClut,GetClut,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_CalcClut,asm/funcs glabel,contradicting live alias(es): gpu_CalcClut_8007A7C4;gpu_CalcClut
0x8007A7DC,func_8007A7DC,gpu_DebugTPage_8007A7DC,DumpTPage,DumpTPage,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_DebugTPage,asm/funcs glabel,contradicting live alias(es): gpu_DebugTPage_8007A7DC
0x8007A83C,func_8007A83C,gpu_DebugClut_8007A83C,DumpClut,DumpClut,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_DebugClut,asm/funcs glabel,contradicting live alias(es): gpu_DebugClut_8007A83C
0x8007A87C,func_8007A87C,,NextPrim,NextPrim,PRIM,LIBGPU,0x8007A788,libscan-verbatim,FILL,True,,RESET,SUSPECT,tslSmdSendVu1Code_8007A87C,asm/funcs glabel,
0x8007A898,func_8007A898,,IsEndPrim,IsEndPrim,PRIM,LIBGPU,0x8007A788,libscan-verbatim,FILL,True,,RESET,SUSPECT,tslSmdSendVu1Code_8007A898,asm/funcs glabel,
0x8007A8B4,func_8007A8B4,ot_Link_8007A8B4;ot_Link,AddPrim,AddPrim,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,ot_Link,asm/funcs glabel,contradicting live alias(es): ot_Link_8007A8B4;ot_Link
0x8007A8F0,func_8007A8F0,ot_Insert_8007A8F0,AddPrims,AddPrims,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,ot_Insert,asm/funcs glabel,contradicting live alias(es): ot_Insert_8007A8F0
0x8007A92C,func_8007A92C,ot_SetAddr_8007A92C,CatPrim,CatPrim,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,ot_SetAddr,asm/funcs glabel,contradicting live alias(es): ot_SetAddr_8007A92C
0x8007A950,func_8007A950,ot_SetEnd_8007A950,TermPrim,TermPrim,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,ot_SetEnd,asm/funcs glabel,contradicting live alias(es): ot_SetEnd_8007A950
0x8007A968,func_8007A968,gpu_SetSemiTransp_8007A968;gpu_SetSemiTransp,SetSemiTrans,SetSemiTrans,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_SetSemiTransp,asm/funcs glabel,contradicting live alias(es): gpu_SetSemiTransp_8007A968;gpu_SetSemiTransp
0x8007A990,func_8007A990,gpu_SetRawTexture_8007A990,SetShadeTex,SetShadeTex,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,gpu_SetRawTexture,asm/funcs glabel,contradicting live alias(es): gpu_SetRawTexture_8007A990
0x8007A9B8,func_8007A9B8,initPolyF3_8007A9B8,SetPolyF3,SetPolyF3,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyF3,asm/funcs glabel,contradicting live alias(es): initPolyF3_8007A9B8
0x8007A9CC,func_8007A9CC,initPolyFT3_8007A9CC,SetPolyFT3,SetPolyFT3,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyFT3,asm/funcs glabel,contradicting live alias(es): initPolyFT3_8007A9CC
0x8007A9E0,func_8007A9E0,initPolyG3_8007A9E0,SetPolyG3,SetPolyG3,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyG3,asm/funcs glabel,contradicting live alias(es): initPolyG3_8007A9E0
0x8007A9F4,func_8007A9F4,initPolyGT3_8007A9F4,SetPolyGT3,SetPolyGT3,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyGT3,asm/funcs glabel,contradicting live alias(es): initPolyGT3_8007A9F4
0x8007AA08,func_8007AA08,initPolyF4_8007AA08,SetPolyF4,SetPolyF4,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyF4,asm/funcs glabel,contradicting live alias(es): initPolyF4_8007AA08
0x8007AA1C,func_8007AA1C,initPolyFT4_8007AA1C,SetPolyFT4,SetPolyFT4,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyFT4,asm/funcs glabel,contradicting live alias(es): initPolyFT4_8007AA1C
0x8007AA30,func_8007AA30,initPolyG4_8007AA30;initPolyG4,SetPolyG4,SetPolyG4,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyG4,asm/funcs glabel,contradicting live alias(es): initPolyG4_8007AA30;initPolyG4
0x8007AA44,func_8007AA44,initPolyGT4_8007AA44,SetPolyGT4,SetPolyGT4,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initPolyGT4,asm/funcs glabel,contradicting live alias(es): initPolyGT4_8007AA44
0x8007AA58,func_8007AA58,initSprt8_8007AA58,SetSprt8,SetSprt8,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initSprt8,asm/funcs glabel,contradicting live alias(es): initSprt8_8007AA58
0x8007AA6C,func_8007AA6C,initSprt16_8007AA6C,SetSprt16,SetSprt16,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initSprt16,asm/funcs glabel,contradicting live alias(es): initSprt16_8007AA6C
0x8007AA80,func_8007AA80,initSprt_8007AA80,SetSprt,SetSprt,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initSprt,asm/funcs glabel,contradicting live alias(es): initSprt_8007AA80
0x8007AA94,func_8007AA94,initTile1_8007AA94,SetTile1,SetTile1,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initTile1,asm/funcs glabel,contradicting live alias(es): initTile1_8007AA94
0x8007AAA8,func_8007AAA8,initTile8_8007AAA8,SetTile8,SetTile8,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initTile8,asm/funcs glabel,contradicting live alias(es): initTile8_8007AAA8
0x8007AABC,func_8007AABC,initTile16_8007AABC,SetTile16,SetTile16,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initTile16,asm/funcs glabel,contradicting live alias(es): initTile16_8007AABC
0x8007AAD0,func_8007AAD0,initTile_8007AAD0;initTile,SetTile,SetTile,PRIM,LIBGPU,0x8007A788,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,CORROBORATED,initTile,asm/funcs glabel,contradicting live alias(es): initTile_8007AAD0;initTile
